INSTALL_NAME	APPLE_OR_BOOTSTRAP	STOCK_20L563_PRESENT	DYLD_CACHE_PRESENT	ROOTFUL_ARCHIVE_PRESENT	ROOTLESS_REFERENCE_PRESENT	TARGET_ACTION	EVIDENCE
/usr/lib/libSystem.B.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=385;ORACLE_KEPT_ABS
@rpath/libiosexec.1.dylib	APPLE	NO	NO	NO	N/A	KEEP_RELATIVE	load_count=383
/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation	APPLE	YES	YES	NO	N/A	KEEP_STOCK_APPLE	load_count=180
/usr/lib/libintl.8.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=169;ORACLE_REWRITE_TO_RPATH
/System/Library/Frameworks/CoreServices.framework/CoreServices	APPLE	YES	YES	NO	N/A	KEEP_STOCK_APPLE	load_count=109
/usr/lib/libncursesw.6.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=54;ORACLE_REWRITE_TO_RPATH
/usr/lib/libiconv.2.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=50;ORACLE_KEPT_ABS
/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit	APPLE	YES	YES	NO	N/A	KEEP_STOCK_APPLE	load_count=39
/usr/lib/libpcre.1.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=38;ORACLE_REWRITE_TO_RPATH
/usr/lib/libpam.2.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=25;ORACLE_REWRITE_TO_RPATH
/usr/lib/libcrypto.3.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=25;ORACLE_REWRITE_TO_RPATH
/System/Library/Frameworks/Foundation.framework/Foundation	APPLE	YES	YES	NO	N/A	KEEP_STOCK_APPLE	load_count=21
/usr/lib/libapt-pkg.6.0.dylib	BOOTSTRAP	NO	NO	NO	NO	REWRITE_TO_RPATH	load_count=20;ORACLE_REWRITE_TO_RPATH
/usr/lib/libc++.1.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=20;ORACLE_KEPT_ABS
/usr/lib/libcrypt.2.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=15;ORACLE_REWRITE_TO_RPATH
/usr/lib/libutil.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=14;ORACLE_KEPT_ABS
/usr/lib/libobjc.A.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=12;ORACLE_KEPT_ABS
/usr/libexec/sudo/libsudo_util.0.dylib	BOOTSTRAP	NO	NO	YES	YES	REVIEW	load_count=11
/usr/lib/libapt-private.0.0.dylib	BOOTSTRAP	NO	NO	NO	NO	REWRITE_TO_RPATH	load_count=10;ORACLE_REWRITE_TO_RPATH
/usr/lib/libzstd.1.dylib	BOOTSTRAP	NO	NO	NO	NO	REWRITE_TO_RPATH	load_count=9;ORACLE_REWRITE_TO_RPATH
/usr/lib/libbz2.1.0.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=9;ORACLE_KEPT_ABS
/usr/lib/libz-ng.2.dylib	BOOTSTRAP	NO	NO	NO	NO	REWRITE_TO_RPATH	load_count=8;ORACLE_REWRITE_TO_RPATH
/usr/lib/libmd.0.dylib	BOOTSTRAP	NO	NO	YES	YES	REWRITE_TO_RPATH	load_count=8;ORACLE_REWRITE_TO_RPATH
/usr/lib/libz.1.dylib	APPLE	NO	YES	NO	NO	KEEP_STOCK_APPLE	load_count=6;ORACLE_KEPT_ABS
