FILE	ORIGINAL_SHA256	ORIGINAL_UUID	ORIGINAL_CDHASH	ORIGINAL_LC_ID_DYLIB	ORIGINAL_LC_RPATHS	ORIGINAL_LOADS	ROOTLESS_REQUIRED	NEW_LC_ID_DYLIB	NEW_LC_RPATHS	NEW_LOADS	APPLE_LIB_LOADS_PRESERVED	PROCURSUS_LIB_LOADS_REWRITTEN	HEADER_PADDING_SUFFICIENT	LOAD_COMMAND_SIZE_CHANGE_REQUIRED	BINARY_RELAYOUT_REQUIRED	RESIGN_REQUIRED	TRUSTCACHE_REFRESH_REQUIRED	REWRITE_CLASS	TRANSFORM_MATCHES_REFERENCE_PATTERN	MINOS	SDK
bin/sync	cfc1c1cc5d22c06babec5732d4fb19a0e5e7228d1f011228bf806d7fa601c480	7EE75158-D08B-36D1-892B-5A18D4EE5960	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libcrypt.2.dylib|/usr/lib/libpam.2.dylib|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|@rpath/libcrypt.2.dylib|@rpath/libpam.2.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib	/usr/lib/libcrypt.2.dylib|/usr/lib/libpam.2.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
sbin/dmesg	09ff0c4959a62e4805282507e98a3ffb47e108c5a0119e9582b00a14be52173e	7F55F443-2BBD-3880-8532-DBE51D6EE2D6	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
sbin/dynamic_pager	71d10e47ae52de5482eed057653f1903649cb83ce6e7cbebea95af003a963b5a	8A9EA122-E8A7-383B-890F-9D0FAFB7B73F	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
sbin/nologin	bf3cfd9290e754e7bf3981b3355db399dde696f3debe754a7d639ea7810e7f36	7403BBDD-2B5B-3AA6-BCF9-2788D01A58D5	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libcrypt.2.dylib|/usr/lib/libpam.2.dylib|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|@rpath/libcrypt.2.dylib|@rpath/libpam.2.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib	/usr/lib/libcrypt.2.dylib|/usr/lib/libpam.2.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
sbin/reboot	1c3001efc947984128af2807ae2dc9929f7f47c8d21ef4921a82430288007724	40972785-33F6-3AB4-897B-AB10134CA7CD	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
sbin/shutdown	77cfecedfffdc93e4a4b1b6d07d789b0745a7e9488bc83122306cdabe44bd7a7	A7261CA3-1AA6-3FB7-9E42-FCEAF0F65FF3	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libbsm.0.dylib|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libbsm.0.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libbsm.0.dylib|/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/[	dead3e1dcbd22397d1a5e19224d40a34ac2d1544d38a3b5eb59f07612c454ce9	7EDAB515-1C5D-324E-BD04-DFCA23DED8C1	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/apply	238da7b33c7020dbe90214d9ac2deb27fc015e03fe96f9ba5be3bfc976cf36e1	64EEF61E-E266-35E1-86C8-1DC327EBEEE8	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libsbuf.dylib|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libsbuf.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libSystem.B.dylib	/usr/lib/libsbuf.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/apt	1d125d0e84638bfae84fbb2e23bf03f5338170c0539e9b39d7274a216060c141	EEE9E7D0-8073-4C4A-B63C-0BF63A090814	TBD_BATCH		/usr|/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	YES		/usr|/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|@rpath/libapt-private.0.0.dylib|@rpath/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/apt-cache	eeabd01f9c799f5e8914e15d7b3d760608c374b60487972d6545de2ef6aadc81	813424AA-C066-4283-BCD1-37269C412A4B	TBD_BATCH		/usr|/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	YES		/usr|/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|@rpath/libapt-private.0.0.dylib|@rpath/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/apt-cdrom	6b7e4b819feaf761ddb4fd68e0dc80607dc1eff74db15e2b57b8d8a318655e99	A83EEFD7-A353-49FB-9AF1-F7DEF8B38527	TBD_BATCH		/usr|/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	YES		/usr|/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|@rpath/libapt-private.0.0.dylib|@rpath/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/apt-config	debbe0ea0bd89bb07607a037a7ff0d8c655deb177f12fb6b95365d0a340bc890	B6641D3D-786B-44AA-9F91-A97C7A7E3A39	TBD_BATCH		/usr|/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	YES		/usr|/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|@rpath/libapt-private.0.0.dylib|@rpath/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/apt-get	6e1fc414ded35806bd0d7db2c01f232b76391257fca942f32969fe17b7a679e9	0118BF02-0B85-45CD-B644-6CA732F5A14A	TBD_BATCH		/usr|/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	YES		/usr|/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|@rpath/libapt-private.0.0.dylib|@rpath/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/apt-mark	5d996698c3823887a0b36fb98dfffb908368d3c8fb04f05deccc7dfc04b2a36c	85705CFE-EB27-4403-87AF-CF8F7E7E6F67	TBD_BATCH		/usr|/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	YES		/usr|/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|@rpath/libapt-private.0.0.dylib|@rpath/libapt-pkg.6.0.dylib|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libc++.1.dylib|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib|/usr/lib/libapt-private.0.0.dylib|/usr/lib/libapt-pkg.6.0.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/arch	cb1d840e80a83f8daa078c0e0950e9445bfe658f4d8fb05d9fc27e14918ac99b	B999D878-E950-37E2-9783-2C299F6B33AF	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libobjc.A.dylib|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libobjc.A.dylib|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/System/Library/Frameworks/Foundation.framework/Foundation|/usr/lib/libobjc.A.dylib|/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/at	6cc1289ef984aad55fc092a40c0fcbe0ddcba0e2021acd15e886e1f594550254	D8756CC0-02BF-382F-8837-114D96C0FD01	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib	NO		/usr/lib	@rpath/libiosexec.1.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit|/usr/lib/libSystem.B.dylib		UNKNOWN	NO	NO	NO	NO	NO_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/b2sum	aa9bca2591388b1c5d3f3ec279b1d48ca30c6af8474e088cd2a7878278f530e1	872AA4BF-DED8-39A9-BCFD-85BB260FE58F	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/base32	83867f514413246c9a9bdbabbad3dab1e0bf9de3aedc836606e57e64762d7926	EB9273B3-AA84-3E2A-94B5-3D3FA44F17AA	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/base64	98fc149509d209d25f1f483aa0e6d5bc26c38309dd850446389047efff350515	0A12A7B0-671F-32AB-BF1A-13BDE1BE0BB6	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/basename	39670915e3967563e5071ab1a2f26cd612b2e21e4e424e2267af694a475bc01b	0B15FC49-167E-3978-BD6D-4F6BF209EDD2	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/basenc	0ec2c223a68f6cef9d522244f701146425184d43d74e9a4cd9484713127dd449	784E200D-C90D-3B5A-A39D-CDEFD223EB44	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libintl.8.dylib|/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/System/Library/Frameworks/CoreFoundation.framework/CoreFoundation|/System/Library/Frameworks/CoreServices.framework/CoreServices|/usr/lib/libSystem.B.dylib	/usr/lib/libintl.8.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
usr/bin/bash	2e046bc4561cb7f038a24d8467511212f1be26343df1733050b353ba20e955ba	A3F58AE5-270B-37D1-BB4B-016EA7C47702	TBD_BATCH		/usr/lib	@rpath/libiosexec.1.dylib|/usr/lib/libreadline.8.dylib|/usr/lib/libhistory.8.dylib|/usr/lib/libncursesw.6.dylib|/usr/lib/libiconv.2.dylib|/usr/lib/libSystem.B.dylib|/usr/lib/libcharset.1.dylib	YES		/usr/lib|/var/jb/usr/lib	@rpath/libiosexec.1.dylib|@rpath/libreadline.8.dylib|@rpath/libhistory.8.dylib|@rpath/libncursesw.6.dylib|/usr/lib/libiconv.2.dylib|/usr/lib/libSystem.B.dylib|/usr/lib/libcharset.1.dylib	/usr/lib/libiconv.2.dylib|/usr/lib/libSystem.B.dylib|/usr/lib/libcharset.1.dylib	/usr/lib/libreadline.8.dylib|/usr/lib/libhistory.8.dylib|/usr/lib/libncursesw.6.dylib	UNKNOWN	YES	MAYBE	YES	YES	RPATH_ADDITION_AND_LOAD_REWRITE	YES_ORACLE_USES_RPATH_MODEL	minos 17.0	sdk 17.2
